instant,dteday,season,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,month,year
1,2011-01-01,Springer,0,Saturday,0,1,0.24,0.2879,0.81,0.0,3,13,16,January,2011
2,2011-01-01,Springer,0,Saturday,0,1,0.22,0.2727,0.8,0.0,8,32,40,January,2011
3,2011-01-01,Springer,0,Saturday,0,1,0.22,0.2727,0.8,0.0,5,27,32,January,2011
4,2011-01-01,Springer,0,Saturday,0,1,0.24,0.2879,0.75,0.0,3,10,13,January,2011
5,2011-01-01,Springer,0,Saturday,0,1,0.24,0.2879,0.75,0.0,0,1,1,January,2011
6,2011-01-01,Springer,0,Saturday,0,2,0.24,0.2576,0.75,0.0896,0,1,1,January,2011
7,2011-01-01,Springer,0,Saturday,0,1,0.22,0.2727,0.8,0.0,2,0,2,January,2011
8,2011-01-01,Springer,0,Saturday,0,1,0.2,0.2576,0.86,0.0,1,2,3,January,2011
9,2011-01-01,Springer,0,Saturday,0,1,0.24,0.2879,0.75,0.0,1,7,8,January,2011
10,2011-01-01,Springer,0,Saturday,0,1,0.32,0.3485,0.76,0.0,8,6,14,January,2011
11,2011-01-01,Springer,0,Saturday,0,1,0.38,0.3939,0.76,0.2537,12,24,36,January,2011
12,2011-01-01,Springer,0,Saturday,0,1,0.36,0.3333,0.81,0.2836,26,30,56,January,2011
13,2011-01-01,Springer,0,Saturday,0,1,0.42,0.4242,0.77,0.2836,29,55,84,January,2011
14,2011-01-01,Springer,0,Saturday,0,2,0.46,0.4545,0.72,0.2985,47,47,94,January,2011
15,2011-01-01,Springer,0,Saturday,0,2,0.46,0.4545,0.72,0.2836,35,71,106,January,2011
16,2011-01-01,Springer,0,Saturday,0,2,0.44,0.4394,0.77,0.2985,40,70,110,January,2011
17,2011-01-01,Springer,0,Saturday,0,2,0.42,0.4242,0.82,0.2985,41,52,93,January,2011
18,2011-01-01,Springer,0,Saturday,0,2,0.44,0.4394,0.82,0.2836,15,52,67,January,2011
19,2011-01-01,Springer,0,Saturday,0,3,0.42,0.4242,0.88,0.2537,9,26,35,January,2011
20,2011-01-01,Springer,0,Saturday,0,3,0.42,0.4242,0.88,0.2537,6,31,37,January,2011
21,2011-01-01,Springer,0,Saturday,0,2,0.4,0.4091,0.87,0.2537,11,25,36,January,2011
22,2011-01-01,Springer,0,Saturday,0,2,0.4,0.4091,0.87,0.194,3,31,34,January,2011
23,2011-01-01,Springer,0,Saturday,0,2,0.4,0.4091,0.94,0.2239,11,17,28,January,2011
24,2011-01-01,Springer,0,Saturday,0,2,0.46,0.4545,0.88,0.2985,15,24,39,January,2011
25,2011-01-02,Springer,0,Sunday,0,2,0.46,0.4545,0.88,0.2985,4,13,17,January,2011
26,2011-01-02,Springer,0,Sunday,0,2,0.44,0.4394,0.94,0.2537,1,16,17,January,2011
27,2011-01-02,Springer,0,Sunday,0,2,0.42,0.4242,1.0,0.2836,1,8,9,January,2011
28,2011-01-02,Springer,0,Sunday,0,2,0.46,0.4545,0.94,0.194,2,4,6,January,2011
29,2011-01-02,Springer,0,Sunday,0,2,0.46,0.4545,0.94,0.194,2,1,3,January,2011
30,2011-01-02,Springer,0,Sunday,0,3,0.42,0.4242,0.77,0.2985,0,2,2,January,2011
31,2011-01-02,Springer,0,Sunday,0,2,0.4,0.4091,0.76,0.194,0,1,1,January,2011
32,2011-01-02,Springer,0,Sunday,0,3,0.4,0.4091,0.71,0.2239,0,8,8,January,2011
33,2011-01-02,Springer,0,Sunday,0,2,0.38,0.3939,0.76,0.2239,1,19,20,January,2011
34,2011-01-02,Springer,0,Sunday,0,2,0.36,0.3485,0.81,0.2239,7,46,53,January,2011
35,2011-01-02,Springer,0,Sunday,0,2,0.36,0.3333,0.71,0.2537,16,54,70,January,2011
36,2011-01-02,Springer,0,Sunday,0,2,0.36,0.3333,0.66,0.2985,20,73,93,January,2011
37,2011-01-02,Springer,0,Sunday,0,2,0.36,0.3485,0.66,0.1343,11,64,75,January,2011
38,2011-01-02,Springer,0,Sunday,0,3,0.36,0.3485,0.76,0.194,4,55,59,January,2011
39,2011-01-02,Springer,0,Sunday,0,3,0.34,0.3333,0.81,0.1642,19,55,74,January,2011
40,2011-01-02,Springer,0,Sunday,0,3,0.34,0.3333,0.71,0.1642,9,67,76,January,2011
41,2011-01-02,Springer,0,Sunday,0,1,0.34,0.3333,0.57,0.194,7,58,65,January,2011
42,2011-01-02,Springer,0,Sunday,0,2,0.36,0.3333,0.46,0.3284,10,43,53,January,2011
43,2011-01-02,Springer,0,Sunday,0,1,0.32,0.2879,0.42,0.4478,1,29,30,January,2011
44,2011-01-02,Springer,0,Sunday,0,1,0.3,0.2727,0.39,0.3582,5,17,22,January,2011
45,2011-01-02,Springer,0,Sunday,0,1,0.26,0.2273,0.44,0.3284,11,20,31,January,2011
46,2011-01-02,Springer,0,Sunday,0,1,0.24,0.2121,0.44,0.2985,0,9,9,January,2011
47,2011-01-02,Springer,0,Sunday,0,1,0.22,0.2273,0.47,0.1642,0,8,8,January,2011
48,2011-01-03,Springer,0,Monday,1,1,0.22,0.197,0.44,0.3582,0,5,5,January,2011
49,2011-01-03,Springer,0,Monday,1,1,0.2,0.1667,0.44,0.4179,0,2,2,January,2011
50,2011-01-03,Springer,0,Monday,1,1,0.16,0.1364,0.47,0.3881,0,1,1,January,2011
51,2011-01-03,Springer,0,Monday,1,1,0.16,0.1364,0.47,0.2836,0,3,3,January,2011
52,2011-01-03,Springer,0,Monday,1,1,0.14,0.1061,0.5,0.3881,0,30,30,January,2011
53,2011-01-03,Springer,0,Monday,1,1,0.14,0.1364,0.5,0.194,1,63,64,January,2011
54,2011-01-03,Springer,0,Monday,1,1,0.14,0.1212,0.5,0.2836,1,153,154,January,2011
55,2011-01-03,Springer,0,Monday,1,1,0.16,0.1364,0.43,0.3881,7,81,88,January,2011
56,2011-01-03,Springer,0,Monday,1,1,0.18,0.1667,0.43,0.2537,11,33,44,January,2011
57,2011-01-03,Springer,0,Monday,1,1,0.2,0.1818,0.4,0.3284,10,41,51,January,2011
58,2011-01-03,Springer,0,Monday,1,1,0.22,0.2121,0.35,0.2985,13,48,61,January,2011
59,2011-01-03,Springer,0,Monday,1,1,0.24,0.2121,0.35,0.2836,8,53,61,January,2011
60,2011-01-03,Springer,0,Monday,1,1,0.26,0.2424,0.3,0.2836,11,66,77,January,2011
61,2011-01-03,Springer,0,Monday,1,1,0.26,0.2424,0.3,0.2537,14,58,72,January,2011
62,2011-01-03,Springer,0,Monday,1,1,0.26,0.2424,0.3,0.2537,9,67,76,January,2011
